#	Zeit	Service	Flags	Prio	Quelladr	Quelle	Zieladr	Ziel	Rout	DPT	Typ	Daten	
32	21:02:12.409	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=5)	Anz. Bytes: 1 Adresse: 01 11	
33	21:02:12.425	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=5)		
34	21:02:12.449	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=3)	Anz. Bytes: 1 Adresse: 01 11 Daten:$FF	
35	21:02:12.471	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=3)		
36	21:02:12.495	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryWrite (S=6)	Anz. Bytes: 1 Adresse: 01 11 Daten:$29	
37	21:02:12.511	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=6)		
38	21:02:12.537	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=7)	Anz. Bytes: 1 Adresse: 01 11	
39	21:02:12.553	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=7)		
40	21:02:12.577	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=4)	Anz. Bytes: 1 Adresse: 01 11 Daten:$29	
41	21:02:12.599	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=4)		
42	21:02:12.628	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=8)	Anz. Bytes: 12 Adresse: 01 19	
43	21:02:12.643	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=8)		
44	21:02:12.682	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=5)	Anz. Bytes: 12 Adresse: 01 19 Daten:FF FF FF FF FF FF FF FF FF FF FF FF	
45	21:02:12.704	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=5)		
46	21:02:12.727	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=9)	Anz. Bytes: 12 Adresse: 01 25	
47	21:02:12.743	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=9)		
