#,Zeit,Dienst,Flags ,Prio,Quelladresse,Quelle,Zieladresse,Ziel,Rout,Typ,DPT,Info
44,2010-11-04 22:16:39.099,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=5),,"Count=4, Address=0108, Data=FE 11 40 00"
45,2010-11-04 22:16:39.123,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=5),,
46,2010-11-04 22:16:39.152,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=9),,"Count=8, Address=010E"
47,2010-11-04 22:16:39.168,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=9),,
48,2010-11-04 22:16:39.202,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=6),,"Count=8, Address=010E, Data=FF FF FF 29 9A FF FF FF"
49,2010-11-04 22:16:39.223,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=6),,
50,2010-11-04 22:16:39.250,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryWrite (S=10),,"Count=3, Address=010E, Data=E0 63 A7"
51,2010-11-04 22:16:39.269,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=10),,
52,2010-11-04 22:16:39.292,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=11),,"Count=3, Address=010E"
53,2010-11-04 22:16:39.308,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=11),,
54,2010-11-04 22:16:39.337,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=7),,"Count=3, Address=010E, Data=E0 63 A7"
55,2010-11-04 22:16:39.357,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=7),,
56,2010-11-04 22:16:39.383,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryWrite (S=12),,"Count=3, Address=0113, Data=00 00 00"
57,2010-11-04 22:16:39.400,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=12),,
58,2010-11-04 22:16:39.432,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=13),,"Count=3, Address=0113"
59,2010-11-04 22:16:39.441,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=13),,
